Game,Console,Publisher,Developer,Critic Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last_Update__Real
Grand Theft Auto V,PS3_b,Rockstar Games,Rockstar North,9.4,20320000,6370000,9850000,990000,3120000,17th Sep 13,0
Grand Theft Auto V,PS4_b,Rockstar Games,Rockstar North,9.7,19390000,6060000,9710000,600000,3020000,18th Nov 14,1140
Grand Theft Auto: Vice City,PS2_b,Rockstar Games,Rockstar North,9.6,16150000,8410000,5490000,470000,1780000,28th Oct 02,0
Call of Duty: Modern Warfare 3,X360_b,Activision,Infinity Ward,8.7,14820000,9070000,4290000,130000,1330000,08th Nov 11,0
Call of Duty: Black Ops,X360_b,Activision,Treyarch,8.8,14740000,9760000,3730000,110000,1140000,09th Nov 10,0
Red Dead Redemption 2,PS4_b,Rockstar Games,Rockstar Games,9.8,13940000,5260000,6210000,210000,2260000,26th Oct 18,7
Call of Duty: Modern Warfare 2,X360_b,Activision,Infinity Ward,9.5,13530000,8540000,3630000,80000,1280000,10th Nov 09,0
Call of Duty: WWII,PS4_b,Activision,Sledgehammer Games,8,13400000,4670000,6210000,400000,2120000,03rd Nov 17,58
Call of Duty: Modern Warfare 3,PS3_b,Activision,Infinity Ward,8.8,13350000,5540000,5780000,490000,1540000,08th Nov 11,0
Grand Theft Auto III,PS2_b,Rockstar Games,DMA Design,9.5,13100000,6990000,4510000,300000,1300000,23rd Oct 01,0
Call of Duty: Black Ops,PS3_b,Activision,Treyarch,8.7,12670000,6010000,4400000,480000,1780000,09th Nov 10,0
FIFA 18,PS4_b,EA Sports,EA Vancouver,8.3,11800000,1270000,8640000,150000,1730000,29th Sep 17,185
Grand Theft Auto IV,X360_b,Rockstar Games,Rockstar North,1000000,11090000,6800000,3110000,140000,1040000,29th Apr 08,0
FIFA 17,PS4_b,Electronic Arts,EA Canada,8.9,10940000,1260000,7950000,120000,1610000,27th Sep 16,547
Call of Duty: Modern Warfare 2,PS3_b,Activision,Infinity Ward,9.5,10610000,4990000,3660000,380000,1590000,10th Nov 09,0
Grand Theft Auto IV,PS3_b,Rockstar Games,Rockstar North,10,10570000,4790000,3730000,440000,1620000,29th Apr 08,0
Call of Duty: Ghosts,X360_b,Activision,Infinity Ward,6.9,10410000,6760000,2640000,40000,980000,05th Nov 13,1596
Call of Duty: Ghosts,PS3_b,Activision,Infinity Ward,7.5,10130000,4110000,4010000,390000,1620000,05th Nov 13,1596
Halo: Reach,X360_b,Microsoft Game Studios,Bungie,9.3,9970000,7080000,2010000,80000,800000,14th Sep 10,2947
Call of Duty 4: Modern Warfare,X360_b,Activision,Infinity Ward,9.6,9410000,5980000,2390000,130000,910000,05th Nov 07,0
The Elder Scrolls V: Skyrim,X360_b,Bethesda Softworks,Bethesda Game Studios,9.3,8880000,5100000,2830000,100000,850000,11th Nov 11,2331
Grand Theft Auto V,XOne_b,Rockstar Games,Rockstar North,9,8720000,4700000,3250000,10000,760000,18th Nov 14,1239
Fallout 4,PS4_b,Bethesda Softworks,Bethesda Game Studios,8.6,8480000,2910000,3970000,270000,1340000,10th Nov 15,864
FIFA 16,PS4_b,EA Sports,EA Canada,8.5,8220000,1150000,5770000,70000,1230000,22nd Sep 15,921
Star Wars Battlefront (2015),PS4_b,Electronic Arts,EA DICE,7.1,8030000,3310000,3190000,230000,1300000,17th Nov 15,857
Grand Theft Auto: Liberty City Stories,PSP_b,Rockstar Games,Rockstar Leeds,8.8,7720000,2900000,2830000,240000,1740000,25th Oct 05,0
Call of Duty: Advanced Warfare,PS4_b,Activision,Sledgehammer Games,8.5,7530000,2840000,3340000,140000,1220000,04th Nov 14,1155
Battlefield 3,X360_b,Electronic Arts,Dice,8.5,7350000,4470000,2120000,60000,690000,25th Oct 11,0
Battlefield 1,PS4_b,Electronic Arts,EA DICE,9.1,7260000,2200000,3650000,290000,1120000,21st Oct 16,519
Battlefield 3,PS3_b,Electronic Arts,Dice,8.5,7210000,2860000,2940000,350000,1070000,25th Oct 11,0
Need for Speed Underground,PS2_b,Electronic Arts,EA Black Box,8.6,7200000,3270000,2830000,80000,1020000,17th Nov 03,0
Need for Speed Underground 2,PS2_b,Electronic Arts,EA Black Box,8.3,6900000,2710000,3020000,80000,1090000,15th Nov 04,0
Medal of Honor: Frontline,PS2_b,Electronic Arts,EA Los Angeles,9,6830000,2930000,2750000,170000,990000,28th May 02,0
Uncharted 2: Among Thieves,PS3_b,Sony Computer Entertainment,Naughty Dog,9.5,6740000,3280000,2220000,210000,1020000,13th Oct 09,0
Call of Duty 4: Modern Warfare,PS3_b,Activision,Infinity Ward,9.5,6720000,3130000,2270000,280000,1040000,05th Nov 07,0
FIFA Soccer 12,PS3_b,EA Sports,EA Canada,9.2,6650000,840000,4330000,110000,1370000,27th Sep 11,0
Red Dead Redemption,PS3_b,Rockstar Games,Rockstar San Diego,9.5,6570000,2820000,2580000,170000,1000000,11th Oct 11,0
Assassin's Creed III,PS3_b,Ubisoft,Ubisoft Montreal,8.8,6500000,2650000,2610000,160000,1080000,30th Oct 12,1989
Red Dead Redemption,X360_b,Rockstar Games,Rockstar San Diego,9.5,6500000,3770000,2030000,90000,600000,18th May 10,0
The Elder Scrolls V: Skyrim,PS3_b,Bethesda Softworks,Bethesda Game Studios,9,6490000,2570000,2680000,250000,990000,11th Nov 11,2331
Minecraft,PS4_b,Sony Computer Entertainment,Mojang,9.4,6330000,1890000,3130000,350000,960000,07th Oct 14,1437
FIFA 15,PS4_b,EA Sports,EA Canada,8.1,6320000,830000,4490000,50000,940000,23rd Sep 14,1276
Driver,PS_b,GT Interactive,Reflections Interactive,8.5,6270000,3110000,2800000,20000,330000,30th Jun 99,0
Tekken 2,PS_b,Namco,Namco,9.1,5740000,2260000,1890000,1360000,230000,25th Aug 96,0
Cooking Mama,DS_b,Majesco,Office Create,6.6,5660000,3090000,1920000,70000,580000,12th Sep 06,0
Assassin's Creed II,PS3_b,Ubisoft,Ubisoft Montreal,9,5570000,2540000,1950000,210000,860000,17th Nov 09,2966
Assassin's Creed,X360_b,Ubisoft,Ubisoft Montreal,8.2,5550000,3280000,1640000,70000,560000,13th Nov 07,0
Batman: Arkham City,PS3_b,Warner Bros. Interactive,Rocksteady Studios,9.6,5540000,2720000,1890000,110000,820000,18th Oct 11,0
Forza Motorsport 3,X360_b,Microsoft Game Studios,Turn 10 Studios,9.2,5500000,2990000,1900000,100000,510000,27th Oct 09,0
Crash Bandicoot: The Wrath of Cortex,PS2_b,Universal Interactive,Traveller's Tales,6.9,5420000,2070000,2290000,240000,820000,29th Oct 01,0
Final Fantasy XIII,PS3_b,Square Enix,Square Enix,8,5350000,1750000,1230000,1870000,510000,09th Mar 10,0
Assassin's Creed II,X360_b,Ubisoft,Ubisoft Montreal,9.1,5300000,3140000,1550000,80000,520000,17th Nov 09,0
Tomb Raider II,PS_b,Eidos Interactive,Core Design Ltd.,7.6,5240000,2300000,2460000,200000,280000,31st Oct 97,0
Madden NFL 2004,PS2_b,EA Sports,EA Tiburon,9.5,5230000,4260000,260000,10000,710000,12th Aug 03,0
Call of Duty: Advanced Warfare,XOne_b,Activision,Sledgehammer Games,8.3,5220000,3250000,1490000,10000,480000,04th Nov 14,1152
Medal of Honor: Rising Sun,PS2_b,Electronic Arts,EA Los Angeles,5.9,5130000,1980000,2230000,130000,800000,11th Nov 03,0
Battlefield 1,XOne_b,Electronic Arts,EA DICE,9.3,5130000,3370000,1260000,20000,480000,21st Oct 16,519
Resident Evil 5,PS3_b,Capcom,Capcom,8.6,5100000,1960000,1420000,1080000,640000,13th Mar 09,0
Fable III,X360_b,Microsoft Game Studios,Lionhead Studios,7.8,5100000,3590000,1090000,50000,370000,26th Oct 10,0
Mario & Sonic at the Olympic Games,DS_b,Sega,Sega,7,5100000,1630000,2460000,440000,570000,22nd Jan 08,0
Grand Theft Auto: Vice City Stories,PSP_b,Rockstar Games,Rockstar Leeds,8.4,5080000,1700000,2030000,160000,1190000,31st Oct 06,0
FIFA Soccer 11,PS3_b,EA Sports,EA Canada,8.7,5080000,610000,3280000,60000,1120000,28th Sep 10,0
Final Fantasy XV,PS4_b,Square Enix,Square Enix,8.1,5070000,1810000,1530000,1050000,680000,29th Nov 16,521
Fallout 4,XOne_b,Bethesda Softworks,Bethesda Game Studios,8.4,5030000,2940000,1620000,20000,450000,10th Nov 15,864
Tony Hawk's Pro Skater,PS_b,Activision,Neversoft Entertainment,9.6,5020000,3420000,1380000,20000,200000,31st Aug 99,0
Guitar Hero III: Legends of Rock,PS2_b,RedOctane,BudCat Creations,8.2,4980000,3490000,10000,10000,1480000,28th Oct 07,0
Uncharted: Drake's Fortune,PS3_b,Sony Computer Entertainment,Naughty Dog,8.7,4970000,2320000,1730000,120000,800000,16th Nov 07,0
Fallout 3,X360_b,Bethesda Softworks,Bethesda Game Studios,9,4960000,3410000,990000,90000,460000,28th Oct 08,0
Madden NFL 06,PS2_b,EA Sports,EA Tiburon,9.1,4910000,3980000,260000,10000,660000,08th Aug 05,0
Assassin's Creed,PS3_b,Ubisoft,Ubisoft Montreal,8.2,4830000,1910000,2010000,90000,820000,13th Nov 07,0
Crash Team Racing,PS_b,Sony Computer Entertainment,Naughty Dog,9.2,4790000,2570000,1570000,440000,210000,30th Sep 99,0
Batman: Arkham City,X360_b,Warner Bros. Interactive,Rocksteady Studios,9.5,4750000,2990000,1280000,40000,440000,18th Oct 11,0
Driver 2,PS_b,Atari,Reflections Interactive,7,4730000,2360000,2100000,20000,250000,13th Nov 00,0
Tony Hawk's Pro Skater 2,PS_b,Activision,Neversoft Entertainment,9.3,4680000,3050000,1410000,20000,200000,20th Sep 00,0
The Lord of the Rings: The Two Towers,PS2_b,Electronic Arts,Stormfront Studios,8.3,4670000,1940000,1950000,80000,700000,21st Oct 02,0
Tomb Raider,PS_b,Eidos Interactive,Core Design Ltd.,8.9,4630000,2290000,1970000,130000,240000,14th Nov 96,0
Forza Motorsport 4,X360_b,Microsoft Studios,Turn 10 Studio,9.1,4600000,2080000,1980000,60000,490000,11th Oct 11,0
Guitar Hero III: Legends of Rock,Wii_b,RedOctane,Vicarious Visions,8.6,4600000,3040000,1120000,0,440000,28th Oct 07,0
FIFA 15,PS3_b,EA Sports,EA Canada,6.9,4560000,590000,3250000,40000,680000,23rd Sep 14,1276
Mario & Sonic at the Olympic Winter Games,Wii_b,Sega,Sega,6.8,4540000,1870000,1970000,220000,480000,13th Oct 09,0
Overwatch,PS4_b,Blizzard Entertainment,Blizzard Entertainment,8.8,4540000,1840000,1800000,170000,730000,24th May 16,669
Madden NFL 2005,PS2_b,EA Sports,EA Tiburon,9.5,4530000,4180000,260000,10000,80000,09th Aug 04,0
Guitar Hero III: Legends of Rock,X360_b,RedOctane,Neversoft,8.7,4530000,3190000,910000,10000,420000,28th Oct 07,0
Spider-Man: The Movie,PS2_b,Activision,Treyarch,8.2,4480000,2710000,1510000,30000,230000,15th Apr 02,0
The Elder Scrolls IV: Oblivion,X360_b,Take-Two Interactive,Bethesda Softworks,9.2,4470000,2890000,1030000,130000,410000,07th Jul 09,0
Tony Hawk's Pro Skater 3,PS2_b,Activision,Neversoft Entertainment,9.1,4410000,2660000,1290000,10000,460000,28th Oct 01,0
Winning Eleven: Pro Evolution Soccer 2007,PS2_b,Konami,Konami Computer Entertainment Tokyo,8.8,4390000,100000,2390000,1050000,860000,06th Feb 07,0
Michael Jackson: The Experience,Wii_b,Ubisoft,Ubisoft Montpellier,5.6,4370000,2640000,1330000,10000,390000,23rd Nov 10,0
Need for Speed: Most Wanted,PS2_b,Electronic Arts,EA Canada,8.6,4370000,2030000,1790000,80000,470000,15th Nov 05,0
Call of Duty: Advanced Warfare,X360_b,Activision,High Moon Studios,9.1,4340000,2810000,1130000,0,410000,04th Nov 14,1155
Batman: Arkham Asylum,PS3_b,Eidos Interactive,Rocksteady Studios,9,4280000,2260000,1330000,70000,630000,25th Aug 09,0
Call of Duty: Advanced Warfare,PS3_b,Activision,High Moon Studios,9.1,4270000,1590000,1810000,200000,670000,04th Nov 14,1155
Assassin's Creed: Revelations,PS3_b,Ubisoft,Ubisoft Montreal,8.8,4230000,1410000,2030000,100000,690000,15th Nov 11,0
Assassin's Creed: Revelations,X360_b,Ubisoft,Ubisoft Montreal,7.9,4220000,2280000,1470000,40000,440000,15th Nov 11,0
FIFA Soccer 06,PS2_b,EA Sports,EA Canada,8.4,4210000,780000,2550000,40000,840000,04th Oct 05,0
Street Fighter IV,PS3_b,Capcom,Capcom / Dimps Corporation,9.3,4190000,2040000,1050000,590000,520000,17th Feb 09,0
FIFA Soccer 12,X360_b,EA Sports,EA Canada,9.2,4180000,850000,2790000,20000,520000,27th Sep 11,0
Call of Duty: Ghosts,PS4_b,Activision,Infinity Ward,7.5,4170000,1790000,1640000,50000,690000,15th Nov 13,1586
Teenage Mutant Ninja Turtles,NES_b,Ultra Games,Konami,5.9,4170000,3380000,440000,310000,40000,01st Jun 89,0
Star Wars Battlefront (2015),XOne_b,Electronic Arts,EA DICE,6.9,4150000,2490000,1260000,20000,380000,17th Nov 15,857
Madden NFL 2003,PS2_b,EA Sports,EA Tiburon,9.4,4140000,3360000,210000,10000,560000,12th Aug 02,0
Batman: Arkham Knight,PS4_b,Warner Bros. Interactive,Rocksteady Studios,8.1,4110000,1650000,1680000,110000,660000,23rd Jun 15,924
FIFA 07 Soccer,PS2_b,EA Sports,Team Fusion,8.4,4110000,710000,2480000,30000,890000,03rd Oct 06,0
Fallout: New Vegas,X360_b,Bethesda Softworks,Obsidian Entertainment,8.2,4080000,2670000,1030000,40000,340000,19th Oct 10,0
Far Cry 4,PS4_b,Ubisoft,Ubisoft Montreal,8.4,4060000,1180000,2140000,110000,630000,18th Nov 14,1160
Carnival Games,Wii_b,Global Star Software,Cat Daddy Games,4.2,4060000,2120000,1470000,50000,420000,28th Aug 07,0
World Soccer Winning Eleven 9,PS2_b,Konami,Konami Computer Entertainment Tokyo,8.9,4060000,120000,2260000,900000,770000,07th Feb 06,0
Forza Motorsport 2,X360_b,Microsoft Game Studios,Turn 10 Studios,9.1,4050000,2350000,1270000,30000,410000,29th May 07,0
Tekken Tag Tournament,PS2_b,Namco,Namco,8.7,4050000,1680000,1510000,510000,350000,25th Oct 00,0
Fallout 3,PS3_b,Bethesda Softworks,Bethesda Game Studios,8.8,4000000,2180000,1150000,70000,610000,28th Oct 08,0
NBA 2K16,PS4_b,2K Sports,Visual Concepts,8.7,3980000,2560000,660000,50000,710000,29th Sep 15,910
