Game,Console,Publisher,Developer,Critic_Score,Total_Sales,NA_Sales,PAL_Sales,Japan_Sales,Other_Sales,Release_Date,Last_Update_Real
Grand_Theft_Auto_V,PS3_b,Rockstar_Games,Rockstar_North,9.4,20.32m,6.37m,9.85m,0.99m,3.12m,17th_Sep_13,17th_Sep_13
Grand_Theft_Auto_V,PS4_b,Rockstar_Games,Rockstar_North,9.7,19.39m,6.06m,9.71m,0.60m,3.02m,18th_Nov_14,03rd_Jan_18
Grand_Theft_Auto:_Vice_City,PS2_b,Rockstar_Games,Rockstar_North,9.6,16.15m,8.41m,5.49m,0.47m,1.78m,28th_Oct_02,28th_Oct_02
Call_of_Duty:_Modern_Warfare_3,X360_b,Activision,Infinity_Ward,8.7,14.82m,9.07m,4.29m,0.13m,1.33m,08th_Nov_11,08th_Nov_11
Call_of_Duty:_Black_Ops,X360_b,Activision,Treyarch,8.8,14.74m,9.76m,3.73m,0.11m,1.14m,09th_Nov_10,09th_Nov_10
Red_Dead_Redemption_2,PS4_b,Rockstar_Games,Rockstar_Games,9.8,13.94m,5.26m,6.21m,0.21m,2.26m,26th_Oct_18,02nd_Nov_18
Call_of_Duty:_Modern_Warfare_2,X360_b,Activision,Infinity_Ward,9.5,13.53m,8.54m,3.63m,0.08m,1.28m,10th_Nov_09,10th_Nov_09
Call_of_Duty:_WWII,PS4_b,Activision,Sledgehammer_Games,8,13.40m,4.67m,6.21m,0.40m,2.12m,03rd_Nov_17,31st_Dec_17
Call_of_Duty:_Modern_Warfare_3,PS3_b,Activision,Infinity_Ward,8.8,13.35m,5.54m,5.78m,0.49m,1.54m,08th_Nov_11,08th_Nov_11
Grand_Theft_Auto_III,PS2_b,Rockstar_Games,DMA_Design,9.5,13.10m,6.99m,4.51m,0.30m,1.30m,23rd_Oct_01,23rd_Oct_01
Call_of_Duty:_Black_Ops,PS3_b,Activision,Treyarch,8.7,12.67m,6.01m,4.40m,0.48m,1.78m,09th_Nov_10,09th_Nov_10
FIFA_18,PS4_b,EA_Sports,EA_Vancouver,8.3,11.80m,1.27m,8.64m,0.15m,1.73m,29th_Sep_17,02nd_Apr_18
Grand_Theft_Auto_IV,X360_b,Rockstar_Games,Rockstar_North,10,11.09m,6.80m,3.11m,0.14m,1.04m,29th_Apr_08,29th_Apr_08
FIFA_17,PS4_b,Electronic_Arts,EA_Canada,8.9,10.94m,1.26m,7.95m,0.12m,1.61m,27th_Sep_16,28th_Mar_18
Call_of_Duty:_Modern_Warfare_2,PS3_b,Activision,Infinity_Ward,9.5,10.61m,4.99m,3.66m,0.38m,1.59m,10th_Nov_09,10th_Nov_09
Grand_Theft_Auto_IV,PS3_b,Rockstar_Games,Rockstar_North,10,10.57m,4.79m,3.73m,0.44m,1.62m,29th_Apr_08,29th_Apr_08
Call_of_Duty:_Ghosts,X360_b,Activision,Infinity_Ward,6.9,10.41m,6.76m,2.64m,0.04m,0.98m,05th_Nov_13,21st_Mar_18
Call_of_Duty:_Ghosts,PS3_b,Activision,Infinity_Ward,7.5,10.13m,4.11m,4.01m,0.39m,1.62m,05th_Nov_13,21st_Mar_18
Halo:_Reach,X360_b,Microsoft_Game_Studios,Bungie,9.3,9.97m,7.08m,2.01m,0.08m,0.80m,14th_Sep_10,11th_Oct_18
Call_of_Duty_4:_Modern_Warfare,X360_b,Activision,Infinity_Ward,9.6,9.41m,5.98m,2.39m,0.13m,0.91m,05th_Nov_07,05th_Nov_07
The_Elder_Scrolls_V:_Skyrim,X360_b,Bethesda_Softworks,Bethesda_Game_Studios,9.3,8.88m,5.10m,2.83m,0.10m,0.85m,11th_Nov_11,01st_Apr_18
Grand_Theft_Auto_V,XOne_b,Rockstar_Games,Rockstar_North,9,8.72m,4.70m,3.25m,0.01m,0.76m,18th_Nov_14,11th_Apr_18
Fallout_4,PS4_b,Bethesda_Softworks,Bethesda_Game_Studios,8.6,8.48m,2.91m,3.97m,0.27m,1.34m,10th_Nov_15,24th_Mar_18
FIFA_16,PS4_b,EA_Sports,EA_Canada,8.5,8.22m,1.15m,5.77m,0.07m,1.23m,22nd_Sep_15,01st_Apr_18
Star_Wars_Battlefront_(2015),PS4_b,Electronic_Arts,EA_DICE,7.1,8.03m,3.31m,3.19m,0.23m,1.30m,17th_Nov_15,24th_Mar_18
Grand_Theft_Auto:_Liberty_City_Stories,PSP_b,Rockstar_Games,Rockstar_Leeds,8.8,7.72m,2.90m,2.83m,0.24m,1.74m,25th_Oct_05,25th_Oct_05
Call_of_Duty:_Advanced_Warfare,PS4_b,Activision,Sledgehammer_Games,8.5,7.53m,2.84m,3.34m,0.14m,1.22m,04th_Nov_14,04th_Jan_18
Battlefield_3,X360_b,Electronic_Arts,Dice,8.5,7.35m,4.47m,2.12m,0.06m,0.69m,25th_Oct_11,25th_Oct_11
