Game,Console,Publisher,Developer,Critic Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update_ Real
Grand Theft Auto V,PS3_b,Rockstar Games,Rockstar North,9.4,20.32m,6.37m,9.85m,0.99m,3.12m,17th Sep 13,17th Sep 13
Grand Theft Auto V,PS4_b,Rockstar Games,Rockstar North,9.7,19.39m,6.06m,9.71m,0.60m,3.02m,18th Nov 14,03rd Jan 18
Grand Theft Auto: Vice City,PS2_b,Rockstar Games,Rockstar North,9.6,16.15m,8.41m,5.49m,0.47m,1.78m,28th Oct 02,28th Oct 02
Call of Duty: Modern Warfare 3,X360_b,Activision,Infinity Ward,8.7,14.82m,9.07m,4.29m,0.13m,1.33m,08th Nov 11,08th Nov 11
Call of Duty: Black Ops,X360_b,Activision,Treyarch,8.8,14.74m,9.76m,3.73m,0.11m,1.14m,09th Nov 10,09th Nov 10
Red Dead Redemption 2,PS4_b,Rockstar Games,Rockstar Games,9.8,13.94m,5.26m,6.21m,0.21m,2.26m,26th Oct 18,02nd Nov 18
Call of Duty: Modern Warfare 2,X360_b,Activision,Infinity Ward,9.5,13.53m,8.54m,3.63m,0.08m,1.28m,10th Nov 09,10th Nov 09
Call of Duty: WWII,PS4_b,Activision,Sledgehammer Games,8,13.40m,4.67m,6.21m,0.40m,2.12m,03rd Nov 17,31st Dec 17
Call of Duty: Modern Warfare 3,PS3_b,Activision,Infinity Ward,8.8,13.35m,5.54m,5.78m,0.49m,1.54m,08th Nov 11,08th Nov 11
Grand Theft Auto III,PS2_b,Rockstar Games,DMA Design,9.5,13.10m,6.99m,4.51m,0.30m,1.30m,23rd Oct 01,23rd Oct 01
Call of Duty: Black Ops,PS3_b,Activision,Treyarch,8.7,12.67m,6.01m,4.40m,0.48m,1.78m,09th Nov 10,09th Nov 10
FIFA 18,PS4_b,EA Sports,EA Vancouver,8.3,11.80m,1.27m,8.64m,0.15m,1.73m,29th Sep 17,02nd Apr 18
Grand Theft Auto IV,X360_b,Rockstar Games,Rockstar North,10,11.09m,6.80m,3.11m,0.14m,1.04m,29th Apr 08,29th Apr 08
FIFA 17,PS4_b,Electronic Arts,EA Canada,8.9,10.94m,1.26m,7.95m,0.12m,1.61m,27th Sep 16,28th Mar 18
Call of Duty: Modern Warfare 2,PS3_b,Activision,Infinity Ward,9.5,10.61m,4.99m,3.66m,0.38m,1.59m,10th Nov 09,10th Nov 09
Grand Theft Auto IV,PS3_b,Rockstar Games,Rockstar North,10,10.57m,4.79m,3.73m,0.44m,1.62m,29th Apr 08,29th Apr 08
Call of Duty: Ghosts,X360_b,Activision,Infinity Ward,6.9,10.41m,6.76m,2.64m,0.04m,0.98m,05th Nov 13,21st Mar 18
Call of Duty: Ghosts,PS3_b,Activision,Infinity Ward,7.5,10.13m,4.11m,4.01m,0.39m,1.62m,05th Nov 13,21st Mar 18
Halo: Reach,X360_b,Microsoft Game Studios,Bungie,9.3,9.97m,7.08m,2.01m,0.08m,0.80m,14th Sep 10,11th Oct 18
Call of Duty 4: Modern Warfare,X360_b,Activision,Infinity Ward,9.6,9.41m,5.98m,2.39m,0.13m,0.91m,05th Nov 07,05th Nov 07
The Elder Scrolls V: Skyrim,X360_b,Bethesda Softworks,Bethesda Game Studios,9.3,8.88m,5.10m,2.83m,0.10m,0.85m,11th Nov 11,01st Apr 18
Grand Theft Auto V,XOne_b,Rockstar Games,Rockstar North,9,8.72m,4.70m,3.25m,0.01m,0.76m,18th Nov 14,11th Apr 18
Fallout 4,PS4_b,Bethesda Softworks,Bethesda Game Studios,8.6,8.48m,2.91m,3.97m,0.27m,1.34m,10th Nov 15,24th Mar 18
FIFA 16,PS4_b,EA Sports,EA Canada,8.5,8.22m,1.15m,5.77m,0.07m,1.23m,22nd Sep 15,01st Apr 18
Star Wars Battlefront (2015),PS4_b,Electronic Arts,EA DICE,7.1,8.03m,3.31m,3.19m,0.23m,1.30m,17th Nov 15,24th Mar 18
Grand Theft Auto: Liberty City Stories,PSP_b,Rockstar Games,Rockstar Leeds,8.8,7.72m,2.90m,2.83m,0.24m,1.74m,25th Oct 05,25th Oct 05
Call of Duty: Advanced Warfare,PS4_b,Activision,Sledgehammer Games,8.5,7.53m,2.84m,3.34m,0.14m,1.22m,04th Nov 14,04th Jan 18
Battlefield 3,X360_b,Electronic Arts,Dice,8.5,7.35m,4.47m,2.12m,0.06m,0.69m,25th Oct 11,25th Oct 11
Battlefield 1,PS4_b,Electronic Arts,EA DICE,9.1,7.26m,2.20m,3.65m,0.29m,1.12m,21st Oct 16,24th Mar 18
Battlefield 3,PS3_b,Electronic Arts,Dice,8.5,7.21m,2.86m,2.94m,0.35m,1.07m,25th Oct 11,25th Oct 11
Need for Speed Underground,PS2_b,Electronic Arts,EA Black Box,8.6,7.20m,3.27m,2.83m,0.08m,1.02m,17th Nov 03,17th Nov 03
