Game,Console,Publisher,Developer,Critic_Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Last_Update__Real,Release_Date
Teenage_Mutant_Ninja_Turtles,NES_b,Ultra_Games,Konami,5.9,4170000,3380000,440000,310000,40000,0,3438
Virtua_Fighter,SAT_b,Sega,Sega-AM2,9,1070000,170000,120000,770000,20000,0,5607
A-Train,PS_b,Maxis,ArtDink,6,80000,20000,10000,40000,10000,0,5841
Tekken_2,PS_b,Namco,Namco,9.1,5740000,2260000,1890000,1360000,230000,0,6078
Beyond_The_Beyond,PS_b,Sony_Computer_Entertainment,Camelot_Software_Planning,4.8,570000,110000,80000,350000,40000,0,6084
Tobal_No.1,PS_b,Sony_Computer_Entertainment,DreamFactory,7.7,920000,120000,80000,660000,60000,0,6114
Street_Fighter_Alpha_2,PS_b,Capcom,Capcom,8.2,850000,140000,90000,570000,60000,0,6114
King's_Field_II,PS_b,ASCII_Entertainment,From_Software,7.3,260000,80000,60000,110000,20000,0,6145
Tomb_Raider,PS_b,Eidos_Interactive,Core_Design_Ltd.,8.9,4630000,2290000,1970000,130000,240000,0,6159
Suikoden,PS_b,Konami,Konami,8.2,600000,210000,140000,210000,40000,0,6176
Soul_Blade,PS_b,Namco,Namco,8.6,1590000,610000,410000,460000,100000,0,6206
Carnage_Heart,PS_b,Sony_Computer_Entertainment,ArtDink,7.1,110000,10000,10000,90000,10000,0,6236
Blast_Corps,N64_b,Nintendo,Rare_Ltd.,9.1,710000,390000,90000,170000,60000,0,6264
Vandal_Hearts,PS_b,Konami,Konami_Computer_Entertainment_Tokyo,7.7,450000,140000,90000,190000,30000,0,6292
Wild_ARMs,PS_b,Sony_Computer_Entertainment,Media.Vision,8.9,950000,260000,170000,460000,60000,0,6326
Ogre_Battle_Saga_Episode_Five:_The_March_of_the_Black_Queen,PS_b,Atlus,Quest_Corporation,7.6,200000,60000,40000,90000,10000,0,6418
Alien_Trilogy,PS_b,Acclaim_Entertainment,Probe_Entertainment_Limited,8,470000,240000,160000,40000,30000,0,6450
Intelligent_Qube,PS_b,Sony_Computer_Entertainment,Sony_Computer_Entertainment,7.4,1220000,130000,70000,1000000,20000,0,6479
Bushido_Blade,PS_b,Sony_Computer_Entertainment,Light_Weight,8.2,1160000,390000,270000,430000,80000,0,6479
Clock_Tower,PS_b,ASCII_Entertainment,Human_Entertainment,6.1,530000,70000,50000,380000,30000,0,6479
Formula_1_Championship_Edition,PS_b,Sony_Computer_Entertainment,Bizarre_Creations,8.5,360000,60000,40000,230000,20000,0,6479
Mischief_Makers,N64_b,Nintendo,Treasure_Co.__Ltd.,6.5,430000,250000,60000,70000,60000,0,6480
Castlevania:_Symphony_of_the_Night,PS_b,Konami,Konami_Computer_Entertainment_Tokyo,9.3,1270000,580000,400000,210000,80000,0,6481
Tomb_Raider_II,PS_b,Eidos_Interactive,Core_Design_Ltd.,7.6,5240000,2300000,2460000,200000,280000,0,6510
Time_Crisis,PS_b,Namco,Namco,8.5,1680000,380000,870000,330000,100000,0,6510
Armored_Core,PS_b,Sony_Computer_Entertainment,From_Software,7.2,410000,130000,90000,160000,30000,0,6510
Bomberman_64,N64_b,Hudson_Soft,Hudson_Soft,6.1,1040000,500000,200000,310000,30000,0,6542
Diablo,PS_b,Electronic_Arts,Climax_Group,8.3,580000,290000,190000,70000,40000,0,6571
Bushido_Blade_2,PS_b,Square_EA,Light_Weight,7.5,680000,250000,170000,220000,40000,0,6629
Dead_or_Alive,PS_b,Tecmo,Team_Ninja,8.3,280000,90000,60000,100000,20000,0,6661
Theme_Hospital,PS_b,Electronic_Arts,Krisalis_Software,7.2,90000,30000,20000,30000,10000,0,6661
Breath_of_Fire_III,PS_b,Capcom,Capcom,7.6,1000000,290000,190000,460000,70000,0,6691
Grand_Theft_Auto,PS_b,Take-Two_Interactive,DMA_Design,6,2320000,790000,1350000,40000,140000,0,6752
Mission:_Impossible,N64_b,Ocean,Infogrames,6.6,1170000,740000,380000,20000,30000,0,6770
Kartia:_The_Word_of_Fate,PS_b,Atlus,Atlus_Co.,7.9,220000,50000,30000,120000,10000,0,6783
Tenchu:_Stealth_Assassins,PS_b,Activision,Acquire,8.8,1990000,950000,640000,270000,130000,0,6814
International_Superstar_Soccer_'98,N64_b,Konami,Konami_Computer_Entertainment_Osaka,9.1,580000,60000,300000,190000,30000,0,6829
Bomberman_World,PS_b,Atlus,Hudson_Soft,6.5,330000,60000,40000,220000,20000,0,6836
Armored_Core:_Project_Phantasma,PS_b,ASCII_Entertainment,From_Software,7.2,280000,60000,40000,150000,20000,0,6844
Brave_Fencer_Musashi,PS_b,Square,SquareSoft,8.4,1140000,250000,170000,650000,70000,0,6875
Bust_A_Groove,PS_b,989_Studios,Metro,7.7,540000,90000,60000,350000,40000,0,6875
Tomb_Raider_III:_Adventures_of_Lara_Croft,PS_b,Eidos_Interactive,Core_Design_Ltd.,8.2,3540000,1660000,1580000,120000,180000,0,6896
Castlevania,N64_b,Konami,KCEK,7.6,640000,440000,100000,40000,50000,0,6961
